p_gear,n,pfshy_gear
03,6181108,drift gillnet
04,4493838,set gillnet-gillnet
01,2316687,purse seine
15,884189,power troll
07,733899,otter trawl
61,583377,longline vessel 60' or over-longline
06,499468,longline vessel under 60'
05,340477,hand troll
7H,298751,otter trawl vessel 90' to 125'
7I,218220,otter trawl vessel over 125'
91,213213,pot gear-pot gear vessel 60' or over
09,160132,pot gear vessel under 60'-pot gear vessel onder 60'-pot vessel under 60'
7G,91111,otter trawl vessel 60' to under 90'
34,85912,gillnet
11,53919,diving gear
18,51152,shovel
6A,50159,longline vessel 90' or over
26,45639,mechanical jig
7F,37546,otter trawl vessel under 60'
9A,25254,300 pots/or 100% of max
9C,24472,pot gear maximum vessel length 50'-150 pots/or 50% of max
17,19724,beam trawl
9B,19023,225 pots/or 75% of max
9D,14165,75 pots/or 25% of max
12,12957,dive/hand pick-hand pick
69,12038,pot gear
02,6812,beach seine
21,5403,pound
49,4118,pot gear
22,3434,"NA"
5C,2986,fixed gear maximum vessel length 50'
25,2803,dinglebar troll
6B,2132,longline vessel 60' to under 90'
19,1888,pot gear
29,1508,pot gear
59,1334,pot gear
23,1199,mechanical digger
B9,1065,pot gear vessel to 120'-pot gear vessel under 60'
2A,1050,dredge vessel over 80'-dredge vessel permit over 80'
39,1012,pot gear
10,915,ring net
99,537,other gear
5D,491,fixed gear maximum vessel length 35'
5B,443,fixed gear maximum vessel length 60'
08,230,fish wheel
97,145,diving gear
2B,141,vessel to 80'-dredge vessel permit to 80'
5A,120,fixed gear maximum vessel length 90'
1D,55,purse seine
4C,54,net gear maximum vessel length 50'
31,23,gillnet & purse seine
37,8,pair trawl
