p_fshy,description
A 11A,"ABALONE , DIVING GEAR, SOUTHEAST"
B 05B,"HALIBUT , HAND TROLL, STATEWIDE"
B 06B,"HALIBUT , LONGLINE VESSEL UNDER 60', STATEWIDE"
B 25B,"HALIBUT , DINGLEBAR TROLL, STATEWIDE"
B 26B,"HALIBUT , MECHANICAL JIG, STATEWIDE"
B 61B,"HALIBUT , LONGLINE VESSEL 60' OR OVER, STATEWIDE"
C 06B,"SABLEFISH , LONGLINE VESSEL UNDER 60', STATEWIDE"
C 07B,"SABLEFISH , OTTER TRAWL, STATEWIDE"
C 09B,"SABLEFISH , POT GEAR VESSEL UNDER 60', STATEWIDE"
C 25B,"SABLEFISH , DINGLEBAR TROLL, STATEWIDE"
C 26B,"SABLEFISH , MECHANICAL JIG, STATEWIDE"
C 4CE,"SABLEFISH , NET GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND"
C 5AE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 90', PRINCE WILLIAM SOUND"
C 5BE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 60', PRINCE WILLIAM SOUND"
C 5CE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND"
C 5DE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 35', PRINCE WILLIAM SOUND"
C 61A,"SABLEFISH , LONGLINE, NORTHERN SOUTHEAST"
C 61B,"SABLEFISH , LONGLINE VESSEL 60' OR OVER, STATEWIDE"
C 61C,"SABLEFISH , LONGLINE, SOUTHERN SOUTHEAST"
C 91A,"SABLEFISH , POT GEAR, NORTHERN SE-TEST ADF&G ONLY"
C 91B,"SABLEFISH , POT GEAR VESSEL 60' OR OVER, STATEWIDE"
C 91C,"SABLEFISH , POT GEAR, SOUTHERN SOUTHEAST"
C 9CE,"SABLEFISH , POT GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND"
D 09D,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', YAKUTAT"
D 09E,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND"
D 09J,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', WESTWARD"
D 09L,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', CHIGNIK"
D 09M,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', ALASKA PENINSULA"
D 10A,"DUNGENESS CRAB , RING NET, SOUTHEAST"
D 10D,"DUNGENESS CRAB , RING NET, YAKUTAT"
D 10H,"DUNGENESS CRAB , RING NET, COOK INLET"
D 11A,"DUNGENESS CRAB , DIVING GEAR, SOUTHEAST"
D 91D,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, YAKUTAT"
D 91E,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND"
D 91H,"DUNGENESS CRAB , POT GEAR, COOK INLET"
D 91J,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, WESTWARD"
D 91L,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, CHIGNIK"
D 91M,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, ALASKA PENINSULA"
D 9AA,"DUNGENESS CRAB , 300 POTS/OR 100% OF MAX, SOUTHEAST"
D 9BA,"DUNGENESS CRAB , 225 POTS/OR 75% OF MAX, SOUTHEAST"
D 9CA,"DUNGENESS CRAB , 150 POTS/OR 50% OF MAX, SOUTHEAST"
D 9DA,"DUNGENESS CRAB , 75 POTS/OR 25% OF MAX, SOUTHEAST"
E 09B,"HAIR CRAB , POT GEAR VESSEL UNDER 60', STATEWIDE"
E 09Q,"HAIR CRAB , POT GEAR VESSEL UNDER 60', BERING SEA"
E 91B,"HAIR CRAB , POT GEAR VESSEL 60' OR OVER, STATEWIDE"
E 91Q,"HAIR CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA"
E 91QV,"HAIR CRAB , POT GEAR, BERING SEA (VESSEL PERMIT)"
F 02B,"FRESH WATER FISH , BEACH SEINE, STATEWIDE"
F 04B,"FRESH WATER FISH , SET GILLNET, STATEWIDE"
F 05B,"FRESH WATER FISH , HAND TROLL, STATEWIDE"
F 06B,"FRESH WATER FISH , LONGLINE VESSEL UNDER 60', STATEWIDE"
F 08B,"FRESH WATER FISH , FISH WHEEL, STATEWIDE"
F 09B,"FRESH WATER FISH , POT GEAR VESSEL UNDER 60', STATEWIDE"
F 26B,"FRESH WATER FISH , MECHANICAL JIG, STATEWIDE"
F 99B,"FRESH WATER FISH , OTHER GEAR, STATEWIDE"
G 01A,"HERRING ROE , PURSE SEINE, SOUTHEAST"
G 01E,"HERRING ROE , PURSE SEINE, PRINCE WILLIAM SOUND"
G 01H,"HERRING ROE & FOOD/BAIT , PURSE SEINE, COOK INLET"
G 01K,"HERRING ROE , PURSE SEINE, KODIAK"
G 01L,"HERRING ROE , PURSE SEINE, CHIGNIK"
G 01M,"HERRING ROE , PURSE SEINE, ALASKA PENINSULA"
G 01T,"HERRING ROE , PURSE SEINE, BRISTOL BAY"
G 01U,"HERRING ROE , PURSE SEINE, NUNIVAK ISLAND"
G 01X,"HERRING ROE , PURSE SEINE, KOTZEBUE"
G 02X,"HERRING ROE , BEACH SEINE, KOTZEBUE"
G 02Z,"HERRING ROE , BEACH SEINE, NORTON SOUND"
G 31K,"HERRING ROE , GILLNET & PURSE SEINE, KODIAK"
G 34A,"HERRING ROE & FOOD/BAIT , GILLNET, SOUTHEAST"
G 34E,"HERRING ROE , GILLNET, PRINCE WILLIAM SOUND"
G 34H,"HERRING ROE , GILLNET, COOK INLET"
G 34K,"HERRING ROE , GILLNET, KODIAK"
G 34M,"HERRING ROE , GILLNET, ALASKA PENINSULA"
G 34N,"HERRING ROE & FOOD/BAIT , GILLNET, NELSON ISLAND"
G 34S,"HERRING ROE , GILLNET, SECURITY COVE"
G 34T,"HERRING ROE , GILLNET, BRISTOL BAY"
G 34U,"HERRING ROE & FOOD/BAIT , GILLNET, NUNIVAK ISLAND"
G 34V,"HERRING ROE , GILLNET, CAPE AVINOF"
G 34W,"HERRING ROE & FOOD/BAIT , GILLNET, GOODNEWS BAY"
G 34X,"HERRING ROE , GILLNET, KOTZEBUE"
G 34Y,"HERRING ROE & FOOD/BAIT , GILLNET, CAPE ROMANZOF"
G 34Z,"HERRING ROE & FOOD/BAIT , GILLNET, NORTON SOUND"
G 77Z,"HERRING ROE , GILLNET, NORTON SOUND (EDUCATIONAL PERMIT)"
H 01A,"HERRING FOOD/BAIT , PURSE SEINE, SOUTHEAST"
H 01E,"HERRING FOOD/BAIT , PURSE SEINE, PRINCE WILLIAM SOUND"
H 01L,"HERRING FOOD/BAIT , PURSE SEINE, CHIGNIK"
H 01M,"HERRING FOOD/BAIT , PURSE SEINE, ALASKA PENINSULA"
H 02X,"HERRING FOOD/BAIT , BEACH SEINE, KOTZEBUE"
H 1DK,"HERRING FOOD/BAIT , PURSE SEINE, FIXED VESSEL LENGTH TO 60', KODIAK"
H 21A,"HERRING FOOD/BAIT , POUND, SOUTHEAST"
H 34E,"HERRING FOOD/BAIT , GILLNET, PRINCE WILLIAM SOUND"
H 34H,"HERRING FOOD/BAIT , GILLNET, COOK INLET"
H 34M,"HERRING FOOD/BAIT , GILLNET, ALASKA PENINSULA"
H 34X,"HERRING FOOD/BAIT , GILLNET, KOTZEBUE"
H 34Z,"HERRING FOOD/BAIT , GILLNET, NORTON SOUND"
H 7BK,"HERRING FOOD/BAIT , OTTER TRAWL, FIXED VESSEL LENGTH TO 75', KODIAK"
H 7CK,"HERRING FOOD/BAIT , OTTER TRAWL, FIXED VESSEL LENGTH TO 70', KODIAK"
H 7DK,"HERRING FOOD/BAIT , OTTER TRAWL, FIXED VESSEL LENGTH TO 60', KODIAK"
I 05B,"LING COD , HAND TROLL, STATEWIDE"
I 06B,"LING COD , LONGLINE VESSEL UNDER 60', STATEWIDE"
I 09B,"LING COD , POT GEAR VESSEL UNDER 60', STATEWIDE"
I 25B,"LING COD , DINGLEBAR TROLL, STATEWIDE"
I 26B,"LING COD , MECHANICAL JIG, STATEWIDE"
I 61B,"LING COD , LONGLINE VESSEL 60' OR OVER, STATEWIDE"
I 91B,"LING COD , POT GEAR VESSEL 60' OR OVER, STATEWIDE"
J 11A,"GEODUCK CLAMS , DIVING GEAR, SOUTHEAST"
J 97A,"GEODUCK AQUATIC FARMING , DIVING GEAR, SOUTHEAST"
K 09D,"KING CRAB , POT GEAR VESSEL UNDER 60', YAKUTAT"
K 09E,"KING CRAB , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND"
K 09H,"KING CRAB , POT GEAR VESSEL UNDER 60', COOK INLET"
K 09K,"KING CRAB , POT GEAR VESSEL UNDER 60', KODIAK"
K 09M,"KING CRAB , POT GEAR VESSEL UNDER 60', ALASKA PENINSULA"
K 09O,"KING CRAB , POT GEAR VESSEL UNDER 60', DUTCH HARBOR"
K 09OA,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, APICDA"
K 09OB,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, BBEDC"
K 09OC,"KING CRAB , POT GEAR VESSEL ONDER 60', ALEUTIAN ISLANDS CDQ, CBSFA"
